trace,op_ems,emb_ems
rnaseq-sep-1,2679.07870472721,0.0
rnaseq-sep-1~+00-01-00,2674.5525618426154,0.0
rnaseq-sep-1~+00-02-00,2683.927781180066,0.0
rnaseq-sep-1~+00-03-00,2700.7182934526427,0.0
rnaseq-sep-1~+00-04-00,2723.3831046193573,0.0
rnaseq-sep-1~+00-05-00,2744.690313770339,0.0
rnaseq-sep-1~+00-06-00,2751.0843631053467,0.0
rnaseq-sep-1~+00-07-00,2741.1817945146804,0.0
rnaseq-sep-1~+00-08-00,2752.794971640763,0.0
rnaseq-sep-1~+00-09-00,2797.2508738640972,0.0
rnaseq-sep-1~+00-10-00,2838.9893772207697,0.0
rnaseq-sep-1~+00-11-00,2837.8484368162335,0.0
rnaseq-sep-1~+00-12-00,2818.222923001621,0.0
rnaseq-sep-1~+00-13-00,2803.7486137973374,0.0
rnaseq-sep-1~+00-14-00,2801.991594135048,0.0
rnaseq-sep-1~+00-15-00,2804.8611540744396,0.0
rnaseq-sep-1~+00-16-00,2825.513596036788,0.0
rnaseq-sep-1~+00-17-00,2849.15017095609,0.0
rnaseq-sep-1~+00-18-00,2855.136034968873,0.0
rnaseq-sep-1~+00-19-00,2833.3826201789025,0.0
rnaseq-sep-1~+00-20-00,2811.4105018461432,0.0
rnaseq-sep-1~+00-21-00,2795.1985255402997,0.0
rnaseq-sep-1~+00-22-00,2787.299238165123,0.0
rnaseq-sep-1~+00-23-00,2788.5447700295954,0.0
rnaseq-sep-1~+01-00-00,2802.972214273381,0.0
