trace,op_ems,emb_ems
chipseq-jan-1,2242.577907565418,0.0
chipseq-jan-1~+00-01-00,2220.362842966514,0.0
chipseq-jan-1~+00-02-00,2255.190486400051,0.0
chipseq-jan-1~+00-03-00,2328.221674570428,0.0
chipseq-jan-1~+00-04-00,2414.2513696112715,0.0
chipseq-jan-1~+00-05-00,2491.6091906015727,0.0
chipseq-jan-1~+00-06-00,2546.335081297885,0.0
chipseq-jan-1~+00-07-00,2581.120245644719,0.0
chipseq-jan-1~+00-08-00,2611.950380243491,0.0
chipseq-jan-1~+00-09-00,2635.926324705856,0.0
chipseq-jan-1~+00-10-00,2647.935800681076,0.0
chipseq-jan-1~+00-11-00,2654.0673246757888,0.0
chipseq-jan-1~+00-12-00,2659.6671589596153,0.0
chipseq-jan-1~+00-13-00,2658.7681321633927,0.0
chipseq-jan-1~+00-14-00,2665.826103890373,0.0
chipseq-jan-1~+00-15-00,2680.4949038042173,0.0
chipseq-jan-1~+00-16-00,2708.1762265744583,0.0
chipseq-jan-1~+00-17-00,2763.8402754241188,0.0
chipseq-jan-1~+00-18-00,2838.2966247520544,0.0
chipseq-jan-1~+00-19-00,2910.0702194313085,0.0
chipseq-jan-1~+00-20-00,2974.895056703495,0.0
chipseq-jan-1~+00-21-00,2964.6579790873375,0.0
chipseq-jan-1~+00-22-00,2916.23533757492,0.0
chipseq-jan-1~+00-23-00,2842.7448446653034,0.0
chipseq-jan-1~+01-00-00,2770.5743202152034,0.0
chipseq-jan-1~+01-01-00,2757.4647727924093,0.0
chipseq-jan-1~+01-02-00,2818.2401407953657,0.0
chipseq-jan-1~+01-03-00,2899.215555814333,0.0
chipseq-jan-1~+01-04-00,2946.530861953229,0.0
chipseq-jan-1~+01-05-00,2982.5780528269133,0.0
chipseq-jan-1~+01-06-00,2977.442157825176,0.0
chipseq-jan-1~+01-07-00,2984.0816918968394,0.0
chipseq-jan-1~+01-08-00,3047.3109114138865,0.0
chipseq-jan-1~+01-09-00,3101.108261335691,0.0
chipseq-jan-1~+01-10-00,3128.1615942652966,0.0
chipseq-jan-1~+01-11-00,3134.9605070722946,0.0
chipseq-jan-1~+01-12-00,3123.7509512775937,0.0
chipseq-jan-1~+01-13-00,3117.416469933308,0.0
chipseq-jan-1~+01-14-00,3114.1047090729467,0.0
