trace,op_ems,emb_ems
chipseq-jul-2,3690.265978853022,0.0
chipseq-jul-2~+00-01-00,3801.6574330524068,0.0
chipseq-jul-2~+00-02-00,3941.6649047716173,0.0
chipseq-jul-2~+00-03-00,4087.663134781389,0.0
chipseq-jul-2~+00-04-00,4204.39820145458,0.0
chipseq-jul-2~+00-05-00,4258.124873320905,0.0
chipseq-jul-2~+00-06-00,4253.769493211219,0.0
chipseq-jul-2~+00-07-00,4231.634301054353,0.0
chipseq-jul-2~+00-08-00,4220.047973967534,0.0
chipseq-jul-2~+00-09-00,4205.376666328156,0.0
chipseq-jul-2~+00-10-00,4167.975986832833,0.0
chipseq-jul-2~+00-11-00,4065.2819658287344,0.0
chipseq-jul-2~+00-12-00,3936.5657659643075,0.0
chipseq-jul-2~+00-13-00,3765.376597153032,0.0
chipseq-jul-2~+00-14-00,3575.0552954715513,0.0
chipseq-jul-2~+00-15-00,3378.8199541045724,0.0
chipseq-jul-2~+00-16-00,3186.1179424760517,0.0
chipseq-jul-2~+00-17-00,3060.82820171812,0.0
chipseq-jul-2~+00-18-00,3097.587851090365,0.0
chipseq-jul-2~+00-19-00,3275.1827850958316,0.0
chipseq-jul-2~+00-20-00,3517.477868030776,0.0
chipseq-jul-2~+00-21-00,3726.5036272335055,0.0
chipseq-jul-2~+00-22-00,3804.789003300004,0.0
chipseq-jul-2~+00-23-00,3784.886907114498,0.0
chipseq-jul-2~+01-00-00,3819.330688707446,0.0
