trace,op_ems,emb_ems
rnaseq-nov-2,1781.3216282225815,0.0
rnaseq-nov-2~+00-01-00,1692.454124662615,0.0
rnaseq-nov-2~+00-02-00,1745.0403738998143,0.0
rnaseq-nov-2~+00-03-00,1797.118976113729,0.0
rnaseq-nov-2~+00-04-00,1929.4706849757563,0.0
rnaseq-nov-2~+00-05-00,2071.046857409142,0.0
rnaseq-nov-2~+00-06-00,2073.526660931964,0.0
rnaseq-nov-2~+00-07-00,1961.8086031792614,0.0
rnaseq-nov-2~+00-08-00,1968.7732719271944,0.0
rnaseq-nov-2~+00-09-00,2046.8499176230575,0.0
rnaseq-nov-2~+00-10-00,2118.222102228356,0.0
rnaseq-nov-2~+00-11-00,2089.2442982423727,0.0
rnaseq-nov-2~+00-12-00,2084.1121613387036,0.0
rnaseq-nov-2~+00-13-00,1975.0909575223777,0.0
rnaseq-nov-2~+00-14-00,1905.2296977387873,0.0
rnaseq-nov-2~+00-15-00,1961.943111618996,0.0
rnaseq-nov-2~+00-16-00,1952.5192145294445,0.0
rnaseq-nov-2~+00-17-00,1854.8205261479634,0.0
rnaseq-nov-2~+00-18-00,1758.8808173228153,0.0
rnaseq-nov-2~+00-19-00,1798.089511853732,0.0
rnaseq-nov-2~+00-20-00,1833.06105472228,0.0
rnaseq-nov-2~+00-21-00,1883.5805389837383,0.0
rnaseq-nov-2~+00-22-00,1904.3092605688555,0.0
rnaseq-nov-2~+00-23-00,1920.213064444943,0.0
rnaseq-nov-2~+01-00-00,1878.6121108179382,0.0
