trace,op_ems,emb_ems
chipseq-dec-1,849.4966341219192,0.0
chipseq-dec-1~+00-01-00,820.6461195274501,0.0
chipseq-dec-1~+00-02-00,766.0456565315664,0.0
chipseq-dec-1~+00-03-00,767.1347848594381,0.0
chipseq-dec-1~+00-04-00,857.654155608072,0.0
chipseq-dec-1~+00-05-00,851.4472550720321,0.0
chipseq-dec-1~+00-06-00,1065.5647221101708,0.0
chipseq-dec-1~+00-07-00,1033.9391290130898,0.0
chipseq-dec-1~+00-08-00,1070.5938933345965,0.0
chipseq-dec-1~+00-09-00,971.4761543316449,0.0
chipseq-dec-1~+00-10-00,871.2131083036304,0.0
chipseq-dec-1~+00-11-00,800.6512075628334,0.0
chipseq-dec-1~+00-12-00,662.0754538854094,0.0
chipseq-dec-1~+00-13-00,600.0426848748584,0.0
chipseq-dec-1~+00-14-00,553.9778084924867,0.0
chipseq-dec-1~+00-15-00,518.5555253776917,0.0
chipseq-dec-1~+00-16-00,556.6501127962226,0.0
chipseq-dec-1~+00-17-00,587.9513827448109,0.0
chipseq-dec-1~+00-18-00,663.2487476709448,0.0
chipseq-dec-1~+00-19-00,846.0463294762642,0.0
chipseq-dec-1~+00-20-00,1071.5755577170025,0.0
chipseq-dec-1~+00-21-00,1136.3205966841033,0.0
chipseq-dec-1~+00-22-00,1153.8753359258749,0.0
chipseq-dec-1~+00-23-00,1132.6629536390028,0.0
chipseq-dec-1~+01-00-00,1020.6790208188628,0.0
