trace,op_ems,emb_ems
rangeland-feb-3,2656.1474288544064,0.0
rangeland-feb-3~+00-01-00,2738.4488829457932,0.0
rangeland-feb-3~+00-02-00,2698.2409139234605,0.0
rangeland-feb-3~+00-03-00,2742.6036089506706,0.0
rangeland-feb-3~+00-04-00,2791.3682956162606,0.0
rangeland-feb-3~+00-05-00,2836.9194112532314,0.0
rangeland-feb-3~+00-06-00,2861.2848608303184,0.0
rangeland-feb-3~+00-07-00,2779.52781156923,0.0
rangeland-feb-3~+00-08-00,2741.183657103228,0.0
rangeland-feb-3~+00-09-00,2741.2374182171775,0.0
rangeland-feb-3~+00-10-00,2672.44728845809,0.0
rangeland-feb-3~+00-11-00,2681.7443911779956,0.0
rangeland-feb-3~+00-12-00,2693.161130028238,0.0
rangeland-feb-3~+00-13-00,2700.608765365811,0.0
rangeland-feb-3~+00-14-00,2658.1944374043383,0.0
rangeland-feb-3~+00-15-00,2615.4384187532587,0.0
rangeland-feb-3~+00-16-00,2625.1783527680236,0.0
rangeland-feb-3~+00-17-00,2681.1802513917364,0.0
rangeland-feb-3~+00-18-00,2630.903643929415,0.0
rangeland-feb-3~+00-19-00,2599.3454053562746,0.0
rangeland-feb-3~+00-20-00,2619.807893500134,0.0
rangeland-feb-3~+00-21-00,2710.269000381024,0.0
rangeland-feb-3~+00-22-00,2687.5282732515334,0.0
rangeland-feb-3~+00-23-00,2777.9052470334523,0.0
rangeland-feb-3~+01-00-00,2735.1160524907327,0.0
