trace,op_ems,emb_ems
rangeland-aug-2,223.89438852597362,0.0
rangeland-aug-2~+00-01-00,230.84776376376965,0.0
rangeland-aug-2~+00-02-00,220.3001662337798,0.0
rangeland-aug-2~+00-03-00,271.4225195733592,0.0
rangeland-aug-2~+00-04-00,342.8972876921835,0.0
rangeland-aug-2~+00-05-00,400.5385607438877,0.0
rangeland-aug-2~+00-06-00,471.1922859629375,0.0
rangeland-aug-2~+00-07-00,547.4534314270148,0.0
rangeland-aug-2~+00-08-00,581.4411154039905,0.0
rangeland-aug-2~+00-09-00,576.4097977539308,0.0
rangeland-aug-2~+00-10-00,523.6924174257081,0.0
rangeland-aug-2~+00-11-00,485.0038115481716,0.0
rangeland-aug-2~+00-12-00,435.1445222468945,0.0
rangeland-aug-2~+00-13-00,394.5821122733852,0.0
rangeland-aug-2~+00-14-00,363.90433016127054,0.0
rangeland-aug-2~+00-15-00,361.878622954179,0.0
rangeland-aug-2~+00-16-00,393.0118299316599,0.0
rangeland-aug-2~+00-17-00,427.56421733038076,0.0
rangeland-aug-2~+00-18-00,416.08850791261784,0.0
rangeland-aug-2~+00-19-00,401.11631780595684,0.0
rangeland-aug-2~+00-20-00,352.0558838386341,0.0
rangeland-aug-2~+00-21-00,309.21421496622366,0.0
rangeland-aug-2~+00-22-00,268.55633370766105,0.0
rangeland-aug-2~+00-23-00,211.19895700206365,0.0
rangeland-aug-2~+01-00-00,173.16353012593203,0.0
rangeland-aug-2~+01-01-00,165.4707738763467,0.0
rangeland-aug-2~+01-02-00,205.81719246563156,0.0
rangeland-aug-2~+01-03-00,279.44081731771655,0.0
rangeland-aug-2~+01-04-00,371.13886640131227,0.0
rangeland-aug-2~+01-05-00,470.61440134891916,0.0
rangeland-aug-2~+01-06-00,573.9269659885866,0.0
rangeland-aug-2~+01-07-00,688.964897284028,0.0
rangeland-aug-2~+01-08-00,772.5915858191759,0.0
rangeland-aug-2~+01-09-00,790.729872525484,0.0
rangeland-aug-2~+01-10-00,774.6814812735353,0.0
rangeland-aug-2~+01-11-00,725.6627074922704,0.0
rangeland-aug-2~+01-12-00,661.1555017330716,0.0
rangeland-aug-2~+01-13-00,600.6934753001358,0.0
rangeland-aug-2~+01-14-00,508.1025232305807,0.0
rangeland-aug-2~+01-15-00,469.65367323959333,0.0
rangeland-aug-2~+01-16-00,476.8902292470765,0.0
rangeland-aug-2~+01-17-00,536.7951070022584,0.0
rangeland-aug-2~+01-18-00,575.8111305678382,0.0
rangeland-aug-2~+01-19-00,606.0426233533583,0.0
