trace,op_ems,emb_ems
rangeland-jan-3,1256.378805232222,0.0
rangeland-jan-3~+00-01-00,1259.3205384835533,0.0
rangeland-jan-3~+00-02-00,1266.4094004420942,0.0
rangeland-jan-3~+00-03-00,1269.6929102359497,0.0
rangeland-jan-3~+00-04-00,1274.5140337381104,0.0
rangeland-jan-3~+00-05-00,1274.4365529118818,0.0
rangeland-jan-3~+00-06-00,1248.3819848074131,0.0
rangeland-jan-3~+00-07-00,1209.6107556992933,0.0
rangeland-jan-3~+00-08-00,1159.5508777540792,0.0
rangeland-jan-3~+00-09-00,1103.5729886496888,0.0
rangeland-jan-3~+00-10-00,1059.6245991319674,0.0
rangeland-jan-3~+00-11-00,1012.9366709255198,0.0
rangeland-jan-3~+00-12-00,968.9032043048924,0.0
rangeland-jan-3~+00-13-00,948.8664336594909,0.0
rangeland-jan-3~+00-14-00,941.0837660004781,0.0
rangeland-jan-3~+00-15-00,958.9229182799265,0.0
rangeland-jan-3~+00-16-00,990.3628018734114,0.0
rangeland-jan-3~+00-17-00,1018.698426616302,0.0
rangeland-jan-3~+00-18-00,1042.6068789776712,0.0
rangeland-jan-3~+00-19-00,1058.2950018854522,0.0
rangeland-jan-3~+00-20-00,1059.3573243797885,0.0
rangeland-jan-3~+00-21-00,1051.9051806511513,0.0
rangeland-jan-3~+00-22-00,1029.1757329607697,0.0
rangeland-jan-3~+00-23-00,1008.1453491340234,0.0
rangeland-jan-3~+01-00-00,1010.9400075773112,0.0
rangeland-jan-3~+01-01-00,1035.8093059316104,0.0
rangeland-jan-3~+01-02-00,1085.429324159907,0.0
rangeland-jan-3~+01-03-00,1144.2910642523148,0.0
rangeland-jan-3~+01-04-00,1201.7458740638167,0.0
rangeland-jan-3~+01-05-00,1256.2200188575296,0.0
rangeland-jan-3~+01-06-00,1294.4704207276436,0.0
rangeland-jan-3~+01-07-00,1298.427466677212,0.0
rangeland-jan-3~+01-08-00,1279.7502725393235,0.0
rangeland-jan-3~+01-09-00,1253.5866398621317,0.0
rangeland-jan-3~+01-10-00,1234.4290369642424,0.0
rangeland-jan-3~+01-11-00,1223.352286454046,0.0
rangeland-jan-3~+01-12-00,1212.4359811765185,0.0
rangeland-jan-3~+01-13-00,1207.669320722838,0.0
rangeland-jan-3~+01-14-00,1220.8895380065017,0.0
rangeland-jan-3~+01-15-00,1252.932876496767,0.0
rangeland-jan-3~+01-16-00,1291.7911977782242,0.0
rangeland-jan-3~+01-17-00,1324.0146009775601,0.0
rangeland-jan-3~+01-18-00,1340.62431040703,0.0
rangeland-jan-3~+01-19-00,1342.8928300871007,0.0
rangeland-jan-3~+01-20-00,1335.5016429788134,0.0
rangeland-jan-3~+01-21-00,1323.7504188044122,0.0
rangeland-jan-3~+01-22-00,1302.635792804317,0.0
rangeland-jan-3~+01-23-00,1273.2718021034968,0.0
rangeland-jan-3~+02-00-00,1259.5300538542067,0.0
rangeland-jan-3~+02-01-00,1270.9432080803972,0.0
rangeland-jan-3~+02-02-00,1297.4668135123393,0.0
rangeland-jan-3~+02-03-00,1325.5486623472025,0.0
rangeland-jan-3~+02-04-00,1356.8475974969201,0.0
