trace,op_ems,emb_ems
chipseq-may-3,3357.1710777954545,0.0
chipseq-may-3~+00-01-00,3357.1710777954545,0.0
chipseq-may-3~+00-02-00,3357.1710777954545,0.0
chipseq-may-3~+00-03-00,3357.1710777954545,0.0
chipseq-may-3~+00-04-00,3357.1710777954545,0.0
chipseq-may-3~+00-05-00,3357.1710777954545,0.0
chipseq-may-3~+00-06-00,3357.1710777954545,0.0
chipseq-may-3~+00-07-00,3357.1710777954545,0.0
chipseq-may-3~+00-08-00,3357.1710777954545,0.0
chipseq-may-3~+00-09-00,3357.1710777954545,0.0
chipseq-may-3~+00-10-00,3357.1710777954545,0.0
chipseq-may-3~+00-11-00,3357.1710777954545,0.0
chipseq-may-3~+00-12-00,3357.1710777954545,0.0
chipseq-may-3~+00-13-00,3357.1710777954545,0.0
chipseq-may-3~+00-14-00,3357.64077696941,0.0
chipseq-may-3~+00-15-00,3358.4323171632363,0.0
chipseq-may-3~+00-16-00,3358.6194216832478,0.0
chipseq-may-3~+00-17-00,3359.222188810598,0.0
chipseq-may-3~+00-18-00,3359.356925310457,0.0
chipseq-may-3~+00-19-00,3359.0891208572034,0.0
chipseq-may-3~+00-20-00,3360.013729004424,0.0
chipseq-may-3~+00-21-00,3359.5440298304684,0.0
chipseq-may-3~+00-22-00,3358.752489636642,0.0
chipseq-may-3~+00-23-00,3358.095685942675,0.0
chipseq-may-3~+01-00-00,3357.1710777954545,0.0
chipseq-may-3~+01-01-00,3357.1710777954545,0.0
chipseq-may-3~+01-02-00,3357.1710777954545,0.0
chipseq-may-3~+01-03-00,3357.1710777954545,0.0
chipseq-may-3~+01-04-00,3357.1710777954545,0.0
chipseq-may-3~+01-05-00,3357.1710777954545,0.0
chipseq-may-3~+01-06-00,3357.1710777954545,0.0
chipseq-may-3~+01-07-00,3357.1710777954545,0.0
chipseq-may-3~+01-08-00,3357.1710777954545,0.0
chipseq-may-3~+01-09-00,3357.1710777954545,0.0
chipseq-may-3~+01-10-00,3357.1710777954545,0.0
chipseq-may-3~+01-11-00,3357.1710777954545,0.0
chipseq-may-3~+01-12-00,3357.1710777954545,0.0
chipseq-may-3~+01-13-00,3357.1710777954545,0.0
chipseq-may-3~+01-14-00,3357.64077696941,0.0
chipseq-may-3~+01-15-00,3358.4323171632363,0.0
chipseq-may-3~+01-16-00,3358.6194216832478,0.0
chipseq-may-3~+01-17-00,3359.222188810598,0.0
chipseq-may-3~+01-18-00,3359.356925310457,0.0
chipseq-may-3~+01-19-00,3359.0891208572034,0.0
chipseq-may-3~+01-20-00,3360.013729004424,0.0
chipseq-may-3~+01-21-00,3359.5440298304684,0.0
chipseq-may-3~+01-22-00,3358.752489636642,0.0
chipseq-may-3~+01-23-00,3358.095685942675,0.0
chipseq-may-3~+02-00-00,3357.1710777954545,0.0
chipseq-may-3~+02-01-00,3357.1710777954545,0.0
chipseq-may-3~+02-02-00,3357.1710777954545,0.0
chipseq-may-3~+02-03-00,3357.1710777954545,0.0
chipseq-may-3~+02-04-00,3357.1710777954545,0.0
chipseq-may-3~+02-05-00,3357.1710777954545,0.0
chipseq-may-3~+02-06-00,3357.1710777954545,0.0
chipseq-may-3~+02-07-00,3357.1710777954545,0.0
chipseq-may-3~+02-08-00,3357.1710777954545,0.0
chipseq-may-3~+02-09-00,3357.1710777954545,0.0
chipseq-may-3~+02-10-00,3357.1710777954545,0.0
chipseq-may-3~+02-11-00,3357.1710777954545,0.0
chipseq-may-3~+02-12-00,3357.1710777954545,0.0
chipseq-may-3~+02-13-00,3357.1710777954545,0.0
