trace,op_ems,emb_ems
chipseq-apr-3,3357.2809884926437,0.0
chipseq-apr-3~+00-01-00,3357.3289012040864,0.0
chipseq-apr-3~+00-02-00,3357.1710777954545,0.0
chipseq-apr-3~+00-03-00,3357.1710777954545,0.0
chipseq-apr-3~+00-04-00,3357.1710777954545,0.0
chipseq-apr-3~+00-05-00,3357.1710777954545,0.0
chipseq-apr-3~+00-06-00,3357.1710777954545,0.0
chipseq-apr-3~+00-07-00,3357.1710777954545,0.0
chipseq-apr-3~+00-08-00,3357.1710777954545,0.0
chipseq-apr-3~+00-09-00,3357.1710777954545,0.0
chipseq-apr-3~+00-10-00,3357.1710777954545,0.0
chipseq-apr-3~+00-11-00,3357.1710777954545,0.0
chipseq-apr-3~+00-12-00,3357.1710777954545,0.0
chipseq-apr-3~+00-13-00,3357.64077696941,0.0
chipseq-apr-3~+00-14-00,3358.4323171632363,0.0
chipseq-apr-3~+00-15-00,3359.0891208572034,0.0
chipseq-apr-3~+00-16-00,3359.875211735678,0.0
chipseq-apr-3~+00-17-00,3359.6125980495544,0.0
chipseq-apr-3~+00-18-00,3359.6873991078924,0.0
chipseq-apr-3~+00-19-00,3359.5130946361005,0.0
chipseq-apr-3~+00-20-00,3360.013729004424,0.0
chipseq-apr-3~+00-21-00,3360.013729004424,0.0
chipseq-apr-3~+00-22-00,3360.013729004424,0.0
chipseq-apr-3~+00-23-00,3360.013729004424,0.0
chipseq-apr-3~+01-00-00,3359.875211735678,0.0
