trace,op_ems,emb_ems
rnaseq-feb-3-15err,1820.5473954978706,0.0
rnaseq-feb-3-15err~+00-01-00,1783.9427515618775,0.0
rnaseq-feb-3-15err~+00-02-00,1783.7233309818293,0.0
rnaseq-feb-3-15err~+00-03-00,1803.3450107590413,0.0
rnaseq-feb-3-15err~+00-04-00,1840.962875991741,0.0
rnaseq-feb-3-15err~+00-05-00,1915.2832027694853,0.0
rnaseq-feb-3-15err~+00-06-00,1996.2953202241474,0.0
rnaseq-feb-3-15err~+00-07-00,2050.5435014619015,0.0
rnaseq-feb-3-15err~+00-08-00,2060.8911487305845,0.0
rnaseq-feb-3-15err~+00-09-00,2022.1486000088837,0.0
rnaseq-feb-3-15err~+00-10-00,1969.5749803535564,0.0
rnaseq-feb-3-15err~+00-11-00,1913.9237976182362,0.0
rnaseq-feb-3-15err~+00-12-00,1869.5968569457868,0.0
rnaseq-feb-3-15err~+00-13-00,1811.618853855658,0.0
rnaseq-feb-3-15err~+00-14-00,1794.9562906412548,0.0
rnaseq-feb-3-15err~+00-15-00,1807.1324652529624,0.0
rnaseq-feb-3-15err~+00-16-00,1817.078458370051,0.0
rnaseq-feb-3-15err~+00-17-00,1809.928278852403,0.0
rnaseq-feb-3-15err~+00-18-00,1814.2261455963333,0.0
rnaseq-feb-3-15err~+00-19-00,1814.8690022808405,0.0
rnaseq-feb-3-15err~+00-20-00,1843.4227559261699,0.0
rnaseq-feb-3-15err~+00-21-00,1886.8262434225499,0.0
rnaseq-feb-3-15err~+00-22-00,1951.924969048091,0.0
rnaseq-feb-3-15err~+00-23-00,1994.0297777081082,0.0
rnaseq-feb-3-15err~+01-00-00,1971.0690013647545,0.0
