trace,op_ems,emb_ems
chipseq-jul-3-15err,2445.1589136136226,0.0
chipseq-jul-3-15err~+00-01-00,2441.961757926093,0.0
chipseq-jul-3-15err~+00-02-00,2464.4896725914396,0.0
chipseq-jul-3-15err~+00-03-00,2491.570420527234,0.0
chipseq-jul-3-15err~+00-04-00,2509.1976949344617,0.0
chipseq-jul-3-15err~+00-05-00,2534.0623746613287,0.0
chipseq-jul-3-15err~+00-06-00,2592.4652238016465,0.0
chipseq-jul-3-15err~+00-07-00,2636.9617989057188,0.0
chipseq-jul-3-15err~+00-08-00,2707.2630885350354,0.0
chipseq-jul-3-15err~+00-09-00,2742.17696767323,0.0
chipseq-jul-3-15err~+00-10-00,2726.864700399188,0.0
chipseq-jul-3-15err~+00-11-00,2710.323622308078,0.0
chipseq-jul-3-15err~+00-12-00,2648.0035718640506,0.0
chipseq-jul-3-15err~+00-13-00,2580.050728606737,0.0
chipseq-jul-3-15err~+00-14-00,2494.448267584192,0.0
chipseq-jul-3-15err~+00-15-00,2454.9048282190433,0.0
chipseq-jul-3-15err~+00-16-00,2432.027127775036,0.0
chipseq-jul-3-15err~+00-17-00,2432.027127775036,0.0
chipseq-jul-3-15err~+00-18-00,2432.730436882803,0.0
chipseq-jul-3-15err~+00-19-00,2477.533822012494,0.0
chipseq-jul-3-15err~+00-20-00,2517.2202213898418,0.0
chipseq-jul-3-15err~+00-21-00,2503.82455987461,0.0
chipseq-jul-3-15err~+00-22-00,2533.896568803313,0.0
chipseq-jul-3-15err~+00-23-00,2438.732249729168,0.0
chipseq-jul-3-15err~+01-00-00,2432.027127775036,0.0
chipseq-jul-3-15err~+01-01-00,2434.6684602109362,0.0
chipseq-jul-3-15err~+01-02-00,2462.215106657774,0.0
chipseq-jul-3-15err~+01-03-00,2487.763892103685,0.0
chipseq-jul-3-15err~+01-04-00,2515.2798097597833,0.0
chipseq-jul-3-15err~+01-05-00,2539.2488519076073,0.0
chipseq-jul-3-15err~+01-06-00,2598.075927056741,0.0
