trace,op_ems,emb_ems
rnaseq-nov-1-10err,1814.2939217205114,0.0
rnaseq-nov-1-10err~+00-01-00,1803.6221638206994,0.0
rnaseq-nov-1-10err~+00-02-00,1838.459917536944,0.0
rnaseq-nov-1-10err~+00-03-00,1855.7067595804972,0.0
rnaseq-nov-1-10err~+00-04-00,1894.3971538514966,0.0
rnaseq-nov-1-10err~+00-05-00,1956.017112653077,0.0
rnaseq-nov-1-10err~+00-06-00,2003.1479873008743,0.0
rnaseq-nov-1-10err~+00-07-00,2018.3874193641195,0.0
rnaseq-nov-1-10err~+00-08-00,2042.0108947145668,0.0
rnaseq-nov-1-10err~+00-09-00,2059.961145206327,0.0
rnaseq-nov-1-10err~+00-10-00,2044.5798449807444,0.0
rnaseq-nov-1-10err~+00-11-00,2005.3964550612086,0.0
rnaseq-nov-1-10err~+00-12-00,1974.9015991434562,0.0
rnaseq-nov-1-10err~+00-13-00,1917.0650417229388,0.0
rnaseq-nov-1-10err~+00-14-00,1889.0646399133514,0.0
rnaseq-nov-1-10err~+00-15-00,1903.80302271878,0.0
rnaseq-nov-1-10err~+00-16-00,1876.9255110953259,0.0
rnaseq-nov-1-10err~+00-17-00,1820.7009675990746,0.0
rnaseq-nov-1-10err~+00-18-00,1787.7455860439436,0.0
rnaseq-nov-1-10err~+00-19-00,1795.0474256071843,0.0
rnaseq-nov-1-10err~+00-20-00,1799.4578014204335,0.0
rnaseq-nov-1-10err~+00-21-00,1796.0907482596126,0.0
rnaseq-nov-1-10err~+00-22-00,1792.9700594392207,0.0
rnaseq-nov-1-10err~+00-23-00,1790.9109764938712,0.0
rnaseq-nov-1-10err~+01-00-00,1796.9468633473568,0.0
rnaseq-nov-1-10err~+01-01-00,1842.8761298851855,0.0
rnaseq-nov-1-10err~+01-02-00,1888.1461224376758,0.0
rnaseq-nov-1-10err~+01-03-00,1880.2212793161984,0.0
rnaseq-nov-1-10err~+01-04-00,1902.3441086079024,0.0
rnaseq-nov-1-10err~+01-05-00,1986.2631147774762,0.0
rnaseq-nov-1-10err~+01-06-00,2070.1505293460364,0.0
rnaseq-nov-1-10err~+01-07-00,2071.9711407684113,0.0
rnaseq-nov-1-10err~+01-08-00,2067.996623106382,0.0
rnaseq-nov-1-10err~+01-09-00,2059.7972524211755,0.0
rnaseq-nov-1-10err~+01-10-00,2042.8820582155554,0.0
rnaseq-nov-1-10err~+01-11-00,2041.1850813122874,0.0
rnaseq-nov-1-10err~+01-12-00,2016.1422635463741,0.0
rnaseq-nov-1-10err~+01-13-00,1952.5245177643728,0.0
rnaseq-nov-1-10err~+01-14-00,1905.051647634471,0.0
rnaseq-nov-1-10err~+01-15-00,1917.6682604295684,0.0
rnaseq-nov-1-10err~+01-16-00,1912.9676149943684,0.0
