trace,op_ems,emb_ems
sarek-nov-4-25err,3601.664577745165,0.0
sarek-nov-4-25err~+00-01-00,3594.0663518892643,0.0
sarek-nov-4-25err~+00-02-00,3688.4085733324778,0.0
sarek-nov-4-25err~+00-03-00,3760.1895306126526,0.0
sarek-nov-4-25err~+00-04-00,3817.616506643678,0.0
sarek-nov-4-25err~+00-05-00,3907.648822400446,0.0
sarek-nov-4-25err~+00-06-00,3979.554752674643,0.0
sarek-nov-4-25err~+00-07-00,4000.717424270514,0.0
sarek-nov-4-25err~+00-08-00,4003.233445698336,0.0
sarek-nov-4-25err~+00-09-00,3991.6014366135837,0.0
sarek-nov-4-25err~+00-10-00,3935.0333019776735,0.0
sarek-nov-4-25err~+00-11-00,3852.5995407199134,0.0
sarek-nov-4-25err~+00-12-00,3808.783158040259,0.0
sarek-nov-4-25err~+00-13-00,3763.002744366208,0.0
sarek-nov-4-25err~+00-14-00,3678.442371052304,0.0
sarek-nov-4-25err~+00-15-00,3652.392673880723,0.0
sarek-nov-4-25err~+00-16-00,3615.696060434285,0.0
sarek-nov-4-25err~+00-17-00,3560.0312201560305,0.0
sarek-nov-4-25err~+00-18-00,3522.995880847735,0.0
sarek-nov-4-25err~+00-19-00,3527.9304923624586,0.0
sarek-nov-4-25err~+00-20-00,3531.6771708257056,0.0
sarek-nov-4-25err~+00-21-00,3523.9129278668097,0.0
sarek-nov-4-25err~+00-22-00,3541.368070321756,0.0
sarek-nov-4-25err~+00-23-00,3588.3309242939113,0.0
sarek-nov-4-25err~+01-00-00,3615.7229818128008,0.0
